PC_Timestamp_ms,PC_DateTime,Arduino_millis,Signal_Value,Package_Num,HR
1764708977111,2025-12-02 15:56:17.111,12083,405,2,0
1764708977120,2025-12-02 15:56:17.120,12103,408,2,0
1764708977148,2025-12-02 15:56:17.148,12124,466,3,0
1764708977156,2025-12-02 15:56:17.156,12143,610,3,0
1764708977164,2025-12-02 15:56:17.164,12164,790,3,83
1764708977174,2025-12-02 15:56:17.174,12183,974,3,0
1764708977209,2025-12-02 15:56:17.209,12204,994,3,0
1764708977219,2025-12-02 15:56:17.219,12223,992,3,0
1764708977226,2025-12-02 15:56:17.226,12243,948,3,0
1764708977255,2025-12-02 15:56:17.255,12263,768,3,0
1764708977266,2025-12-02 15:56:17.266,12283,599,3,0
1764708977276,2025-12-02 15:56:17.276,12303,463,3,0
1764708977305,2025-12-02 15:56:17.305,12323,361,3,0
1764708977314,2025-12-02 15:56:17.314,12343,302,3,0
1764708977323,2025-12-02 15:56:17.323,12363,293,3,0
1764708977353,2025-12-02 15:56:17.353,12384,309,3,0
1764708977364,2025-12-02 15:56:17.364,12403,347,3,0
1764708977373,2025-12-02 15:56:17.373,12424,392,3,0
1764708977406,2025-12-02 15:56:17.406,12443,432,3,0
1764708977417,2025-12-02 15:56:17.417,12464,459,3,0
1764708977434,2025-12-02 15:56:17.434,12483,473,3,0
1764708977463,2025-12-02 15:56:17.463,12504,467,3,0
1764708977473,2025-12-02 15:56:17.473,12523,450,3,0
1764708977511,2025-12-02 15:56:17.511,12544,432,3,0
1764708977517,2025-12-02 15:56:17.517,12563,404,3,0
1764708977532,2025-12-02 15:56:17.532,12583,382,3,0
1764708977566,2025-12-02 15:56:17.566,12603,370,3,0
1764708977576,2025-12-02 15:56:17.576,12623,375,3,0
1764708977608,2025-12-02 15:56:17.608,12644,386,3,0
1764708977618,2025-12-02 15:56:17.618,12663,402,3,0
1764708977631,2025-12-02 15:56:17.631,12684,416,3,0
1764708977666,2025-12-02 15:56:17.666,12703,426,3,0
1764708977678,2025-12-02 15:56:17.678,12724,439,3,0
1764708977710,2025-12-02 15:56:17.710,12743,435,3,0
1764708977723,2025-12-02 15:56:17.723,12764,420,3,0
1764708977733,2025-12-02 15:56:17.733,12783,404,3,0
1764708977768,2025-12-02 15:56:17.768,12804,395,3,0
1764708977779,2025-12-02 15:56:17.779,12823,400,3,0
1764708977791,2025-12-02 15:56:17.791,12844,446,3,0
1764708977823,2025-12-02 15:56:17.823,12863,565,3,0
1764708977832,2025-12-02 15:56:17.832,12883,742,3,85
1764708977874,2025-12-02 15:56:17.874,12904,920,3,0
1764708977885,2025-12-02 15:56:17.885,12923,994,3,0
1764708977915,2025-12-02 15:56:17.915,12944,995,3,0
1764708977925,2025-12-02 15:56:17.925,12963,994,3,0
1764708977933,2025-12-02 15:56:17.933,12984,856,3,0
1764708977967,2025-12-02 15:56:17.967,13003,680,3,0
1764708977978,2025-12-02 15:56:17.978,13024,545,3,0
1764708977989,2025-12-02 15:56:17.989,13043,424,3,0
1764708978020,2025-12-02 15:56:18.020,13064,351,3,0
1764708978032,2025-12-02 15:56:18.032,13083,314,3,0
1764708978074,2025-12-02 15:56:18.074,13104,321,3,0
1764708978083,2025-12-02 15:56:18.083,13124,363,4,0
1764708978090,2025-12-02 15:56:18.090,13144,428,4,0
1764708978130,2025-12-02 15:56:18.130,13164,488,4,0
1764708978141,2025-12-02 15:56:18.141,13184,529,4,0
1764708978171,2025-12-02 15:56:18.171,13204,545,4,0
1764708978179,2025-12-02 15:56:18.179,13223,537,4,0
1764708978191,2025-12-02 15:56:18.191,13244,524,4,0
1764708978228,2025-12-02 15:56:18.228,13263,490,4,0
1764708978236,2025-12-02 15:56:18.236,13284,455,4,0
1764708978272,2025-12-02 15:56:18.272,13303,430,4,0
1764708978287,2025-12-02 15:56:18.287,13324,419,4,0
1764708978296,2025-12-02 15:56:18.296,13343,417,4,0
1764708978328,2025-12-02 15:56:18.328,13364,408,4,0
1764708978339,2025-12-02 15:56:18.339,13384,388,4,0
1764708978351,2025-12-02 15:56:18.351,13404,376,4,0
1764708978381,2025-12-02 15:56:18.381,13424,369,4,0
1764708978393,2025-12-02 15:56:18.393,13444,378,4,0
1764708978429,2025-12-02 15:56:18.429,13464,407,4,0
1764708978441,2025-12-02 15:56:18.441,13484,450,4,0
1764708978452,2025-12-02 15:56:18.452,13504,494,4,0
1764708978485,2025-12-02 15:56:18.485,13523,555,4,0
1764708978493,2025-12-02 15:56:18.493,13544,663,4,0
1764708978527,2025-12-02 15:56:18.527,13563,809,4,84
1764708978538,2025-12-02 15:56:18.538,13584,994,4,0
1764708978550,2025-12-02 15:56:18.550,13604,994,4,0
1764708978584,2025-12-02 15:56:18.584,13624,994,4,0
1764708978594,2025-12-02 15:56:18.594,13644,994,4,0
1764708978636,2025-12-02 15:56:18.636,13664,995,4,0
1764708978643,2025-12-02 15:56:18.643,13684,864,4,0
1764708978650,2025-12-02 15:56:18.650,13704,668,4,0
1764708978690,2025-12-02 15:56:18.690,13724,520,4,0
1764708978700,2025-12-02 15:56:18.700,13744,399,4,0
1764708978715,2025-12-02 15:56:18.715,13764,325,4,0
1764708978747,2025-12-02 15:56:18.747,13785,306,4,0
1764708978758,2025-12-02 15:56:18.758,13804,335,4,0
1764708978795,2025-12-02 15:56:18.795,13825,395,4,0
1764708978803,2025-12-02 15:56:18.803,13845,463,4,0
1764708978812,2025-12-02 15:56:18.812,13865,520,4,0
1764708978847,2025-12-02 15:56:18.847,13885,558,4,0
1764708978855,2025-12-02 15:56:18.855,13905,571,4,0
1764708978892,2025-12-02 15:56:18.892,13925,559,4,0
1764708978906,2025-12-02 15:56:18.906,13945,531,4,0
1764708978916,2025-12-02 15:56:18.916,13965,498,4,0
1764708978948,2025-12-02 15:56:18.948,13985,479,4,0
1764708978961,2025-12-02 15:56:18.961,14005,455,4,0
1764708978991,2025-12-02 15:56:18.991,14025,433,4,0
1764708979001,2025-12-02 15:56:19.001,14045,413,4,0
1764708979013,2025-12-02 15:56:19.013,14065,406,4,0
1764708979048,2025-12-02 15:56:19.048,14086,403,4,0
1764708979055,2025-12-02 15:56:19.055,14105,406,4,0
1764708979072,2025-12-02 15:56:19.072,14126,415,5,0
1764708979105,2025-12-02 15:56:19.105,14145,429,5,0
1764708979114,2025-12-02 15:56:19.114,14166,441,5,0
1764708979150,2025-12-02 15:56:19.150,14185,462,5,0
1764708979162,2025-12-02 15:56:19.162,14205,536,5,0
1764708979174,2025-12-02 15:56:19.174,14225,688,5,84
1764708979208,2025-12-02 15:56:19.208,14245,845,5,0
1764708979217,2025-12-02 15:56:19.217,14265,978,5,0
1764708979249,2025-12-02 15:56:19.249,14285,988,5,0
