frame,time,ROI,R,G,B
4,200.0,upper nasal dorsum,145.58201058201058,104.3862433862434,84.51058201058201
4,200.0,lower nasal dorsum,224.02439024390245,168.359756097561,139.0
4,200.0,soft triangle,187.5722891566265,133.34939759036143,113.1987951807229
4,200.0,left ala,203.87301587301587,147.52380952380952,121.87301587301587
4,200.0,right ala,192.2377049180328,135.12295081967213,113.98360655737704
4,200.0,nasal tip,223.5,165.93636363636364,139.12727272727273
4,200.0,left lower nasal sidewall,192.77586206896552,140.55172413793105,111.74137931034483
4,200.0,right lower nasal sidewall,184.61313868613138,133.007299270073,110.76642335766424
4,200.0,left mid nasal sidewall,174.92307692307693,125.76923076923077,97.76923076923077
4,200.0,right mid nasal sidewall,172.98947368421054,123.90526315789474,101.62105263157895
4,200.0,philtrum,132.82,87.71,72.865
4,200.0,left upper lip,161.42424242424244,114.28787878787878,91.74242424242425
4,200.0,right upper lip,154.6505376344086,108.80645161290323,89.08602150537635
4,200.0,left nasolabial fold,179.96236559139786,131.00537634408602,105.84946236559139
4,200.0,right nasolabial fold,157.83984375,115.0078125,93.97265625
4,200.0,left temporal,184.155,142.91,111.9
4,200.0,right temporal,146.31909212283045,107.22429906542057,82.6355140186916
4,200.0,left malar,186.22924411400248,140.17472118959108,111.39653035935564
4,200.0,right malar,168.32636655948554,122.54662379421222,98.59324758842443
4,200.0,left lower cheek,163.31735537190082,123.7603305785124,98.42644628099174
4,200.0,right lower cheek,154.76190476190476,113.3002421307506,89.35028248587571
4,200.0,chin,127.77155172413794,89.68857758620689,68.81681034482759
4,200.0,left marionette fold,136.71863117870723,100.61596958174906,77.74144486692015
4,200.0,right marionette fold,123.52915766738661,87.46652267818574,67.57235421166307
5,250.0,lower medial forehead,100.08183306055646,73.96399345335516,60.64975450081833
5,250.0,left lower lateral forehead,160.37677053824362,117.75637393767705,90.43342776203966
5,250.0,right lower lateral forehead,122.67899891186072,90.1164309031556,71.39173014145811
5,250.0,glabella,141.84880636604774,103.43501326259947,85.26923076923077
5,250.0,upper nasal dorsum,145.5026455026455,104.27777777777777,84.03968253968254
5,250.0,lower nasal dorsum,224.78980891719746,169.21019108280254,138.4904458598726
5,250.0,soft triangle,187.0235294117647,132.78823529411764,111.98823529411764
5,250.0,left ala,204.28813559322035,147.8135593220339,121.61016949152543
5,250.0,right ala,193.7863247863248,136.74358974358975,113.51282051282051
5,250.0,nasal tip,224.0096153846154,166.40384615384616,138.51923076923077
5,250.0,left lower nasal sidewall,195.1551724137931,142.60344827586206,113.51724137931035
5,250.0,right lower nasal sidewall,185.2189781021898,133.74452554744525,110.4963503649635
5,250.0,left mid nasal sidewall,173.87037037037038,125.03703703703704,96.96296296296296
5,250.0,right mid nasal sidewall,173.98947368421054,124.84210526315789,102.57894736842105
5,250.0,philtrum,131.45098039215685,86.47058823529412,70.86764705882354
5,250.0,left upper lip,162.7984496124031,115.31782945736434,92.24031007751938
5,250.0,right upper lip,154.28934010152284,108.53299492385787,88.8984771573604
5,250.0,left nasolabial fold,180.22043010752688,131.01612903225808,106.05913978494624
5,250.0,right nasolabial fold,155.88306451612902,113.50403225806451,92.52016129032258
